Source,Target
CommunistNewsN,SpokespersonCHN
BluesAlbert,TW_nextmedia
Jam13826408,nathanlawkc
joshuamills044,Dborah11937147
GenocideUyghur,AnneDestiny1
Tom_Fowdy,Dborah11937147
yuanyuanzg,xinjiangchannel
AnneDestiny1,
OmgItsJMurphy,nathanlawkc
KenMast87763989,nathanlawkc
Dreamin4Free,nathanlawkc
Queenie75561250,SpokespersonCHN
gsl202,Jingjing_Li
straul,SpokespersonCHN
jinnwen_ge,spyropic
Lamedh11,
Sumiju1,Jingjing_Li
DanCDO7,globaltimesnews
mesapapern,aizhongchina
yoo_mich,SpokespersonCHN
osaki4eversimp,senjatanuklir
siegfried_HK,nathanlawkc
GladysChiu4,nathanlawkc
tradinwithjessy,
xuhengjs,SpokespersonCHN
linchusa,chinese4uyghurs
QilinDelMondo,CGTNOfficial
Mayahrasmi,aizhongchina
y1_yip,jooeysiiu
EiWint2,nathanlawkc
212hwh,jooeysiiu
XiaojunZhang10,jenniferatntd
charliejle,nathanlawkc
RonaldL10954498,spyropic
BoyRapper5,nathanlawkc
yzhxxn233,
Rb9pQteCWmjz0Of,SpokespersonCHN
337076186Johnys,
anniepierre17,nathanlawkc
Luciferion001,SpokespersonCHN
Aumnovi1,Jingjing_Li
dKb8etA3i1cuAPv,globaltimesnews
doulc69,nathanlawkc
KayleeMok,HKGTranslator
Tricia81895066,nathanlawkc
WithoutEdmondo,
kamemarunaja,aizhongchina
dtct25,SpokespersonCHN
Feli1Ann,
itaiwanla,TW_nextmedia
SToUVbveRT6n5pg,SpokespersonCHN
rpHmo4ZXO6DbeNm,SpokespersonCHN
mcmm1007_HKer,nathanlawkc
iamans2020,jooeysiiu
TW84208072,jooeysiiu
dKb8etA3i1cuAPv,SpokespersonCHN
coolbadyli,nathanlawkc
ma_pyone,nathanlawkc
AkiSteven,chinese4uyghurs
superlincoln1,nathanlawkc
Lovelyseunie328,chinascio
LOudestVibE,nathanlawkc
Jessica56175120,spyropic
Jessica56175120,nathanlawkc
hker50390842,
iamans2020,nathanlawkc
dKb8etA3i1cuAPv,CGTNOfficial
GraceBride1,Jingjing_Li
DanCDO7,guardlaoxue
heqiankrit,SpokespersonCHN
Zank47563599,YawenXu17
Gia0820,Echinanews
JamesZhao_Yafei,globaltimesnews
chenmolihua_93,aizhongchina
chdan27,chinese4uyghurs
XjReport,
hsvau,Jingjing_Li
dKb8etA3i1cuAPv,CGTNOfficial
toby0630,jooeysiiu
ReadTFManual,WangGuanBeijing
YawenXu17,
CherishPlanet,jooeysiiu
Rb9pQteCWmjz0Of,
longziqi,SpokespersonCHN
Dborah11937147,
toby0630,nathanlawkc
wndjgk0815,eeye24
Jinnnieee_,nathanlawkc
Starducks12,chinese4uyghurs
sammiwhat,WangGuanBeijing
Evan22059768,ChinaDaily
snowflakes_0210,nathanlawkc
tezsonee,nathanlawkc
Kentho95591405,nathanlawkc
G7Ahgase124,
StaceyJ42835761,
ShengliLuo,globaltimesnews
Joo5201314,eeye24
MREDGG,nathanlawkc
Rachel75206263,
ssjjssjj__,CGTNOfficial
Democracy_Dream,jooeysiiu
enhengyt,chinese4uyghurs
allieoraoii,aizhongchina
Sunshin26000782,
IcyGreenForest,dayana_dy
ZhuXiaRising,Alfred_Uyghur
YaleChen2020,eeye24
Thinzar91299243,
PinkmanRed,SpokespersonCHN
BieberWang1994,aizhongchina
yoyo19895,SpokespersonCHN
AdeloyeAyotunde,CGTNOfficial
Mike43823542,Jingjing_Li
Ruiminyang1,
NyoMeThet2,nathanlawkc
alreadytakensad,Jingjing_Li
SRGUO,nathanlawkc
StaceyJ42835761,Jingjing_Li
wade75321489,TorontoFarmEN
HK55020097,nathanlawkc
IngyinAung6,nathanlawkc
XjReport,
EconoArtifIntel,Jingjing_Li
MoeKyal9,nathanlawkc
emilybookworm,nathanlawkc
WinWinNaing8,nathanlawkc
yaya00281,nathanlawkc
Miki58354168,SpokespersonCHN
eeye24,
Rb9pQteCWmjz0Of,spyropic
N3LLQ,xinjiangchannel
AlexLvJun,chinese4uyghurs
Ash14390126,nathanlawkc
PieterHog,AlarmChina
PWR1986,
Barry72044427,SpokespersonCHN
divergence_09,nathanlawkc
Xiaodangao777,Alfred_Uyghur
LXMXinjiang4,
Light_Lau,nathanlawkc
benstandwithhk,nathanlawkc
johntan63,SpokespersonCHN
AidanStelling,nathanlawkc
vic13hk,nathanlawkc
aizhongchina,
Acalaonfire,nathanlawkc
missioncritica,
hanakumaowo,jooeysiiu
LeeMango014,nathanlawkc
Awsl114514,chinese4uyghurs
watermelonrua,chinese4uyghurs
SuferThe,chinese4uyghurs
Mrazthurazaw,nathanlawkc
lilireview28,SpokespersonCHN
wsRyoko,CGTNOfficial
456Rockstar,nathanlawkc
sdmituGO,SpokespersonCHN
StandWi11294727,nathanlawkc
MoreThanPol,nathanlawkc
EvaK777721831,nathanlawkc
doastsubasa,nathanlawkc
glorytohkforev1,nathanlawkc
Chichaco64,nathanlawkc
zn_jzhp,Doresssssw
iamhker_keith,jooeysiiu
hongsquarex,nathanlawkc
ciwtra,senjatanuklir
slsl61046665,CGTNOfficial
RJ21153705,jooeysiiu
bewaterbesafe,nathanlawkc
huanghuli1,SpokespersonCHN
JamesCh31927690,jooeysiiu
XjReport,
y_stomp,SilingWu
pelokio1,
JamesCh31927690,nathanlawkc
gift_giffarine,nathanlawkc
Hongkongfore,nathanlawkc
MyaThinKyuKyu6,nathanlawkc
xialiaoo,SpokespersonCHN
mookiemok1,nathanlawkc
its_yeemon,nathanlawkc
simonkwo2012,guardlaoxue
MinSuNyein_msn,nathanlawkc
tttK_T_T,nathanlawkc
Hunterwolfwang,nathanlawkc
kelvint23978630,Wendy54311691
kelvint23978630,LawMic1997
siukwaisiukwai,jooeysiiu
jeffjeffmarco,nathanlawkc
kelvint23978630,nathanlawkc
Jack_nii,nathanlawkc
mamikofromhk,nathanlawkc
nmslgd1,Jingjing_Li
HongKong141619,nathanlawkc
stonehoo,nathanlawkc
JOSHUAHUCKEBEIN,nathanlawkc
soldier02002,CGTNOfficial
8wqIGH20IbdtwRS,TorontoFarmEN
Aumnovi1,CGTNOfficial
DiracSg,SpokespersonCHN
cchicavaliente,nathanlawkc
irenechan852,nathanlawkc
LAHT,
forrest_chu1,guardlaoxue
coldguy,Alfred_Uyghur
SiuAnda,nathanlawkc
redweizhan,CGTNOfficial
DavidChen9457,
PovidokE,jenniferatntd
JackyC_HK,jooeysiiu
justice_4world,nathanlawkc
miEpiphany,lheais
justcurious1313,SilingWu
mimmii6029P,nathanlawkc
Rasenganx3,Jingjing_Li
meidou_kou,SpokespersonCHN
oPOWQFqAG6gWumI,Alfred_Uyghur
JasonLe26726752,nathanlawkc
El_trascendente,CGTNOfficial
sonchan18991411,nathanlawkc
waiphyonaing,nathanlawkc
